response_type,model1,model2,jsd
base,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.19
base,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.159
base,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.185
care,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.168
care,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.165
care,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.191
care,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.166
care,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.176
care,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.171
care,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.187
care,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.102
care,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.156
care,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.111
care,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.171
care,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.163
care,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.182
care,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.155
care,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.119
care,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.185
care,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.171
care,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.194
care,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.143
care,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.206
care,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.2
care,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.216
care,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.183
care,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.173
care,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.19
care,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.132
care,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.153
care,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.16
equality,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.196
equality,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.206
equality,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.197
equality,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.185
equality,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.178
equality,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.192
equality,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.181
equality,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.109
equality,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.181
equality,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.127
equality,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.203
equality,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.196
equality,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.212
equality,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.179
equality,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.128
equality,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.216
equality,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.204
equality,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.225
equality,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.15
equality,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.222
equality,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.22
equality,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.215
equality,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.205
equality,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.192
equality,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.198
equality,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.154
equality,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.146
equality,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.162
loyalty,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.193
loyalty,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.207
loyalty,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.194
loyalty,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.178
loyalty,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.207
loyalty,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.2
loyalty,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.178
loyalty,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.109
loyalty,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.188
loyalty,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.124
loyalty,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.19
loyalty,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.198
loyalty,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.194
loyalty,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.196
loyalty,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.134
loyalty,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.208
loyalty,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.213
loyalty,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.206
loyalty,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.159
loyalty,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.225
loyalty,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.212
loyalty,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.204
loyalty,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.206
loyalty,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.203
loyalty,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.194
loyalty,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.155
loyalty,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.145
loyalty,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.158
proportionality,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.186
proportionality,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.197
proportionality,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.196
proportionality,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.184
proportionality,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.192
proportionality,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.186
proportionality,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.175
proportionality,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.112
proportionality,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.195
proportionality,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.124
proportionality,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.192
proportionality,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.178
proportionality,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.192
proportionality,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.197
proportionality,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.132
proportionality,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.211
proportionality,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.196
proportionality,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.203
proportionality,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.159
proportionality,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.228
proportionality,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.209
proportionality,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.203
proportionality,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.2
proportionality,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.184
proportionality,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.187
proportionality,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.14
proportionality,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.15
proportionality,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.149
purity,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.187
purity,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.19
purity,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.2
purity,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.177
purity,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.193
purity,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.188
purity,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.19
purity,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.129
purity,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.181
purity,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.138
purity,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.205
purity,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.183
purity,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.208
purity,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.187
purity,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.144
purity,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.211
purity,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.2
purity,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.208
purity,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.168
purity,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.242
purity,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.23
purity,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.236
purity,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.204
purity,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.188
purity,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.196
purity,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.145
purity,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.142
purity,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.153
